STT,Nội dung,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Phương án F,Phương án G,Phương án H,Phương án I,Phương án J,Đáp án,Tags
270,"Đối với dự toán mua sắm, hạn mức áp dụng chào giá trực tuyến theo quy trình thông thường đối với gói thầu mua sắm hàng hóa là?",Có giá gói thầu không quá 500 triệu đồng,Có giá gói thầu không quá 02 tỷ đồng,Có giá gói thầu không quá 05 tỷ đồng,Không có quy định về hạn mức áp dụng,,,,,,,D,P3
271,"Gói thầu hàng hóa có giá gói thầu 01 tỷ đồng thực hiện chào giá trực tuyến theo quy trình rút gọn, trường hợp chủ đầu tư đăng tải thông báo mời thầu vào 11h00 ngày Thứ 2 (15/9/2025), thời điểm nào sau đây là thời điểm kết thúc chào giá trực tuyến sớm nhất?",08h00 ngày thứ 6 (19/9/2025),08h00 ngày thứ bẩy (20/9/2025),11h00 ngày thứ 6 (19/9/2025),08h00 ngày thứ 2 (22/9/2025),,,,,,,D,P3
272,"Đối với đấu thầu qua mạng, thành phần nào sau đây không được coi là một phần của E-HSMST, E-HSMT và nhà thầu không phải đáp ứng các yêu cầu này?",Bảng dữ liệu được số hóa dưới dạng webform trên Hệ thống mạng đấu thầu quốc gia,Tiêu chuẩn đánh giá về tính hợp lệ được đính kèm trên Hệ thống mạng đấu thầu quốc gia,"Yêu cầu về năng lực, kinh nghiệm được đính kèm trên Hệ thống mạng đấu thầu quốc gia",Phương án B và C đều đúng,,,,,,,D,P3
273,Yêu cầu nào sau đây là đúng đối với tệp tin (file) đăng tải trên Hệ thống mạng đấu thầu quốc gia?,"Các file mở, đọc được bằng các phần mềm thông dụng như: các phần mềm đọc, soạn thảo văn bản MS Office hoặc Open Office; các phần mềm đọc file PDF; các phần mềm thiết kế thông dụng như AutoCad, Photoshop; phần mềm đọc file ảnh tích hợp sẵn trên Hệ điều hành Windows. Các file sử dụng phông chữ không thuộc bảng mã Unicode","Các file nén mở được bằng các phần mềm giải nén thông dụng như phần mềm giải nén ZIP tích hợp sẵn trên hệ điều hành Windows, MacOS hoặc phần mềm giải nén Rar hoặc 7Zip. Trường hợp sử dụng file nén, các file sau khi giải nén phải có định dạng đúng quy định.","Không bị nhiễm virus, không bị lỗi, hỏng và không thiết lập mật khẩu",Các phương án trên đều đúng,,,,,,,C,P3
274,"Đối với đấu thầu qua mạng, trường hợp file đính kèm trong E-HSMT không thể mở hoặc không đọc được thì chủ đầu tư phải thực hiện hành động nào sau đây?",Đăng tải và phát hành lại toàn bộ E-HSMT,Sửa đổi E-HSMT và không phải phát hành lại toàn bộ E-HSMT,Đề nghị Trung tâm Đấu thầu qua mạng quốc gia sửa đổi E-HSMT trong trường hợp chủ đầu tư không sửa đổi được E-HSMT,Các phương án trên đều đúng,,,,,,,A,P3
275,"Đối với đấu thầu qua mạng, trường hợp Hệ thống mạng đấu thầu quốc gia gặp sự cố không thể vận hành và phải tự động gia hạn thời điểm đóng thầu của các gói thầu bị ảnh hưởng (có thời điểm đóng thầu trong thời gian từ khi Hệ thống bị sự cố cho đến thời điểm sau hoàn thành khắc phục sự cố 02 giờ) thì việc đánh giá E-HSDT được thực hiện trên cơ sở thời điểm đóng thầu nào sau đây?",Thời điểm đóng thầu nêu trong E-TBMT đã được đăng tải trước thời điểm Hệ thống mạng đấu thầu quốc gia gặp sự cố,Thời điểm đóng thầu mà Hệ thống mạng đấu thầu quốc gia tự động gia hạn,Do Chủ đầu tư quyết định,Phương án A và B đều đúng,,,,,,,D,P3
276,Loại Chứng thư số nào sau đây được sử dụng trên Hệ thống mạng đấu thầu quốc gia?,Chứng thư số chuyên dùng do tất cả tổ chức có chức năng cung cấp dịch vụ chứng thực chữ ký số chuyên dùng cấp,Tất cả các loại chứng thư số,Chứng thư số công cộng do tổ chức cung cấp dịch vụ chứng thực chữ ký số công cộng cấp hoặc chứng thư số do tổ chức cung cấp dịch vụ chứng thực chữ ký số chuyên dùng Chính phủ cấp,Phương án A và C đều đúng,,,,,,,C,P3
277,"Đối với đấu thầu qua mạng, trường hợp nhà thầu sử dụng bảo lãnh dự thầu điện tử trên Hệ thống mạng đấu thầu quốc gia, phát biểu nào sau đây là đúng?",Giá trị bảo lãnh dự thầu luôn đáp ứng yêu cầu trong E-HSMT,Thời gian hiệu lực của bảo lãnh dự thầu luôn đáp ứng yêu cầu trong E-HSMT,Đối tượng thụ hưởng bảo lãnh dự thầu luôn đáp ứng yêu cầu trong E-HSMT,Các phương án trên đều đúng,,,,,,,D,P3
278,"Gói thầu mua sắm hàng hóa có: * Thời điểm đóng thầu theo E-TBMT là: 8h00 ngày 25/9/2025 * Hiệu lực của bảo đảm dự thầu theo yêu cầu của E-HSMT là: 90 ngày * Do lỗi hệ thống nên Hệ thống tự động gia hạn thời điểm đóng thầu mới là: 11h ngày 26/9/2025 Nhà thầu A đã nộp E-HSDT trước thời điểm Hệ thống xảy ra sự cố với hiệu lực của bảo đảm dự thầu là 90 ngày kể từ ngày 25/9/2025; Nhà thầu B nộp E-HSDT sau khi Hệ thống được khắc phục và trước thời điểm đóng thầu mới với hiệu lực của bảo đảm dự thầu là 90 ngày kể từ ngày 26/9/2025. Trong trường hợp này, bảo đảm dự thầu của nhà thầu A và nhà thầu B được đánh giá như thế nào?",Bảo đảm dự thầu của nhà thầu A được đánh giá là không hợp lệ; Bảo đảm dự thầu của nhà thầu B được đánh giá là hợp lệ,Bảo đảm dự thầu của nhà thầu A và nhà thầu B đều được đánh giá là hợp lệ,Bảo đảm dự thầu của nhà thầu A được đánh giá là hợp lệ; Bảo đảm dự thầu của nhà thầu B được đánh giá là không hợp lệ,Bảo đảm dự thầu của nhà thầu A và nhà thầu B đều được đánh giá là không hợp lệ,,,,,,,B,P3
279,"So sánh điều kiện xét duyệt trúng thầu giữa phương pháp giá cố định và phương pháp dựa trên kỹ thuật đối với gói thầu dịch vụ tư vấn, điểm chung quyết định để nhà thầu được xếp hạng thứ nhất là gì?",Có giá dự thầu thấp nhất,Có điểm tổng hợp cao nhất,Có điểm kỹ thuật cao nhất,Có giá đề nghị trúng thầu thấp nhất,,,,,,,C,P3
280,Phương pháp kết hợp giữa kỹ thuật và giá được áp dụng cho gói thầu tư vấn có đặc điểm nào trong các phương án sau đây?,"Gói thầu tư vấn đơn giản, chi phí thấp","Gói thầu tư vấn có yêu cầu kỹ thuật rất cao, chi phí cố định",Gói thầu tư vấn chú trọng tới cả chất lượng và chi phí thực hiện,Gói thầu tư vấn có quy trình thực hiện đã được tiêu chuẩn hoá,,,,,,,C,P3
